text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Surge Sergeant on Twitter: ""Police: Copper wiring stolen from streetlights in Dundalk - Baltimore Sun https://t.... https://t.co/0tjA7aE1KB",FALSE,0.0,NA,2017-12-30T15:01:20Z,FALSE,NA,947120422511710208,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",Power_Heat,0.0,FALSE,FALSE,NA,NA
Baltimore Police seek clues to man's shooting https://t.co/GSvxni3VvR,FALSE,0.0,NA,2017-12-30T15:01:12Z,FALSE,NA,947120389263691776,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",buzzinbaltimore,0.0,FALSE,FALSE,NA,NA
RT @justin_fenton: ICYMI: FBI declines to take investigation into murder of Baltimore detective who was killed one day before he was due to…,FALSE,0.0,NA,2017-12-30T15:00:43Z,FALSE,NA,947120270761971713,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Perspectiv84,313.0,TRUE,FALSE,NA,NA
"WATCH. Baltimore police caught on camera choking a woman. She screams ""somebody please help me!""",FALSE,0.0,NA,2017-12-30T14:59:41Z,FALSE,NA,947120009469362176,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",shereedornfeld1,0.0,FALSE,FALSE,NA,NA
RT @justin_fenton: ICYMI: FBI declines to take investigation into murder of Baltimore detective who was killed one day before he was due to…,FALSE,0.0,NA,2017-12-30T14:58:36Z,FALSE,NA,947119737493999616,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ofthem0mentband,313.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T14:57:54Z,FALSE,NA,947119560959975424,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DreadGuy_Dell,740.0,TRUE,FALSE,NA,NA
"RT @disnazzio: Imagine having your head so far up a cop’s ass (or in this case, your own cop ass) that you call working for the fucking BAL…",FALSE,0.0,NA,2017-12-30T14:56:36Z,FALSE,NA,947119233275781121,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FaithFortune99,2.0,TRUE,FALSE,NA,NA
"RT @FranciscoLWhite: FBI announced it won't investigate the only unsolved murder of a police officer in Baltimore's history, that of a Blac…",FALSE,0.0,NA,2017-12-30T14:53:05Z,FALSE,NA,947118348235665408,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dora_jennings,1288.0,TRUE,FALSE,NA,NA
RT @justin_fenton: ICYMI: FBI declines to take investigation into murder of Baltimore detective who was killed one day before he was due to…,FALSE,0.0,NA,2017-12-30T14:52:51Z,FALSE,NA,947118291092467713,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",asheollver,313.0,TRUE,FALSE,NA,NA
RT @notrivia: Police Violence report is worth scanning https://t.co/QY7PxzKI54  (also download the full data set); among the names: Baltimo…,FALSE,0.0,NA,2017-12-30T14:51:47Z,FALSE,NA,947118019163181057,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Lor_blueeyes,8.0,TRUE,FALSE,NA,NA
RT @justin_fenton: ICYMI: FBI declines to take investigation into murder of Baltimore detective who was killed one day before he was due to…,FALSE,0.0,NA,2017-12-30T14:48:17Z,FALSE,NA,947117141752299521,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnxietyFight0,313.0,TRUE,FALSE,NA,NA
"RT @PeterMoskos: Opinions like this literally contribute to increased murder in Baltimore. Police are criticized for doing their job, chasi…",FALSE,0.0,NA,2017-12-30T14:44:09Z,FALSE,NA,947116098842976257,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",heirwaybaseball,16.0,TRUE,FALSE,NA,NA
RT @justin_fenton: ICYMI: FBI declines to take investigation into murder of Baltimore detective who was killed one day before he was due to…,FALSE,0.0,NA,2017-12-30T14:36:35Z,FALSE,NA,947114196847742976,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LainiMoreno,313.0,TRUE,FALSE,NA,NA
"Imagine having your head so far up a cop’s ass (or in this case, your own cop ass) that you call working for the fu… https://t.co/pcv45Upo47",FALSE,8.0,disnazzio,2017-12-30T14:34:55Z,TRUE,947113207344369664,947113775454392320,14385895,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",disnazzio,2.0,FALSE,FALSE,NA,NA
"BEYOND THE BADGE: SERGEANT ERIC HOOPER ""My grandfather began his career in 1950 with the Baltimore Police Dept. and… https://t.co/9tJ5yX0FtW",FALSE,20.0,NA,2017-12-30T14:32:40Z,TRUE,NA,947113212369166337,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ocalapd,3.0,FALSE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T14:28:08Z,FALSE,NA,947112071338094592,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kingsouley_,740.0,TRUE,FALSE,NA,NA
"Boulder Police apprehend attempted murder suspect from Baltimore, Maryland - Denver7 https://t.co/0dsPMOpz7D https://t.co/zZGxAa8gjI",FALSE,0.0,NA,2017-12-30T14:27:04Z,FALSE,NA,947111802931896320,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",toServe_Protect,0.0,FALSE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T14:24:50Z,FALSE,NA,947111236893802497,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TheKingJd2,740.0,TRUE,FALSE,NA,NA
"RT @FranciscoLWhite: FBI announced it won't investigate the only unsolved murder of a police officer in Baltimore's history, that of a Blac…",FALSE,0.0,NA,2017-12-30T14:24:38Z,FALSE,NA,947111186801348608,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LexiGeorge0,1288.0,TRUE,FALSE,NA,NA
Police Release Pictures Of Storage Facility Burglars - CBS Baltimore https://t.co/GpFp1BWg08,FALSE,0.0,NA,2017-12-30T14:22:59Z,FALSE,NA,947110772429045761,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",Chemical_Source,0.0,FALSE,FALSE,NA,NA
"RT @carltakei: Lockdown of Baltimore neighborhood is another powerful example of the way in which policing in Baltimore, and in America, is…",FALSE,0.0,NA,2017-12-30T14:19:28Z,FALSE,NA,947109888840388609,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TheHumanCar,9.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T14:11:21Z,FALSE,NA,947107847120281601,NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",SimonesFiasco,740.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T14:11:17Z,FALSE,NA,947107828359225345,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",ljtoorightous,740.0,TRUE,FALSE,NA,NA
"RT @PeterMoskos: Opinions like this literally contribute to increased murder in Baltimore. Police are criticized for doing their job, chasi…",FALSE,0.0,NA,2017-12-30T14:10:57Z,FALSE,NA,947107744141672448,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cadetod,16.0,TRUE,FALSE,NA,NA
RT @justin_fenton: ICYMI: FBI declines to take investigation into murder of Baltimore detective who was killed one day before he was due to…,FALSE,0.0,NA,2017-12-30T14:10:38Z,FALSE,NA,947107665334931456,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Guerra2084,313.0,TRUE,FALSE,NA,NA
RT @justin_fenton: ICYMI: FBI declines to take investigation into murder of Baltimore detective who was killed one day before he was due to…,FALSE,0.0,NA,2017-12-30T14:08:00Z,FALSE,NA,947107002668519424,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",watchoutforda,313.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T14:06:59Z,FALSE,NA,947106747948437506,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",waltwright1,580.0,TRUE,FALSE,NA,NA
RT @justin_fenton: ICYMI: FBI declines to take investigation into murder of Baltimore detective who was killed one day before he was due to…,FALSE,0.0,NA,2017-12-30T14:05:45Z,FALSE,NA,947106437892800512,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GoldWolf0606,313.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T13:58:00Z,FALSE,NA,947104485155000320,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LrgCheezeLoc,740.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T13:56:43Z,FALSE,NA,947104162894008320,NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",Prep_Jay,740.0,TRUE,FALSE,NA,NA
